variable,x,y
DrosoEu_wc2.1_30s_tmax_02,-30.619999504089357,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-30.50671950683594,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-30.39343950958252,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-30.280159512329103,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-30.166879515075685,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-30.053599517822267,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.94031952056885,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.82703952331543,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.713759526062013,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.600479528808595,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.487199531555177,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.37391953430176,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.26063953704834,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.147359539794923,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-29.034079542541505,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.920799545288087,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.80751954803467,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.69423955078125,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.580959553527833,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.467679556274415,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.354399559020997,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.24111956176758,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.12783956451416,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-28.014559567260743,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.901279570007326,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.787999572753908,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.67471957550049,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.56143957824707,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.448159580993654,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.334879583740236,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.221599586486818,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-27.1083195892334,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.99503959197998,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.881759594726564,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.768479597473146,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.655199600219728,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.54191960296631,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.428639605712892,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.315359608459474,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.202079611206056,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-26.088799613952638,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-25.97551961669922,1.792270049918443E-4
DrosoEu_wc2.1_30s_tmax_02,-25.862239619445802,1.8137464940082282E-4
DrosoEu_wc2.1_30s_tmax_02,-25.748959622192384,1.8797321536112577E-4
DrosoEu_wc2.1_30s_tmax_02,-25.635679624938966,1.9481193157844245E-4
