Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	CCRT	F	YE	YE11	1740.78014749793	253.859501365778	1243.22466768771	2238.33562730815	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE13	1781.78869146382	127.742777620641	1531.41744804225	2032.15993488538	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE14	1671.89741536203	171.608777205152	1335.55039260897	2008.24443811508	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE15	1362.91124528981	113.419674505191	1140.61276812138	1585.20972245824	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE19	1472.41140713473	210.733471544198	1059.381392571	1885.44142169845	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE20	1591.95137619861	273.350529053017	1056.19418409973	2127.7085682975	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE21	1708.44673251727	192.664022072151	1330.83218813922	2086.06127689531	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE22	1709.37107439417	127.335546526053	1459.79798925138	1958.94415953696	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE23	1795.40025418107	359.550917156664	1090.69340594566	2500.10710241647	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE24	1558.83787232509	113.335014309215	1336.70532609169	1780.97041855848	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE26	1569.5180076595	151.189754656474	1273.19153370136	1865.84448161763	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE27	1457.18331490567	119.668207919889	1222.63793728824	1691.72869252311	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE33	1755.8473317713	187.451574043763	1388.44899780018	2123.24566574241	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE40	1766.91464323841	353.949830383176	1073.18572335332	2460.64356312349	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE41	1491.78172046838	140.534038979218	1216.34006546717	1767.2233754696	184.401675717127	0.228922908736544	1	1.94186046511628
lmers	CCRT	F	YE	YE48	1833.33028917966	229.753736692573	1383.02123994872	2283.6393384106	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE49	1823.43572422907	457.51304956831	926.726624618098	2720.14482384005	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE51	1950.52410951098	276.152485155424	1409.27518436512	2491.77303465685	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE69	1695.8387615598	285.773071651295	1135.73383337188	2255.94368974773	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	YE	YE80	1507.93501156512	169.319589310978	1176.07471463849	1839.79530849175	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE1	1557.2695867736	196.465040442401	1172.20518328529	1942.33399026191	184.401675717127	0.228922908736544	1	1.94186046511628
lmers	CCRT	F	RE	RE10	1547.91072572481	116.967118551695	1318.65938598806	1777.16206546156	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE11	1634.01790093312	115.434279665457	1407.7708702075	1860.26493165874	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE12	1565.84493199621	167.77393764401	1237.01405666948	1894.67580732294	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE13	1591.33086123492	210.32666180258	1179.09817911333	2003.56354335652	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE15	1779.34307951713	284.827055627045	1221.09230866554	2337.59385036873	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE16	1459.59037860132	116.927297960672	1230.41708578882	1688.76367141382	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE17	1637.07818749818	192.496814721881	1259.79136350461	2014.36501149174	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE18	1362.15735982626	115.425566703717	1135.92740619185	1588.38731346067	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE2	1438.88808622088	159.882665926525	1125.52381925264	1752.25235318912	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE3	1595.5605650129	143.606598236112	1314.09680452781	1877.024325498	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE4	1456.81096006531	115.627622086403	1230.18498515796	1683.43693497267	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE5	1448.18504901793	141.207541678628	1171.42335298238	1724.94674505348	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE6	1597.55373974191	115.118671081875	1371.92529047333	1823.1821890105	184.401675717127	0.228922908736544	2	1.94186046511628
lmers	CCRT	F	RE	RE7	1362.66648718847	116.907972646196	1133.53107129634	1591.80190308061	184.401675717127	0.228922908736544	2	1.94186046511628
