"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Schmidt","NS","F","AK","AK8",1,"",10,1,"1"
"Schmidt","NS","F","AK","AK9",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI1",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI10",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI11",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI12",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI13",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI14",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI15",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI2",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI3",1,"",6,1,"1"
"Schmidt","NS","F","GI","GI5",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI7",1,"",8,1,"1"
"Schmidt","NS","F","GI","GI8",1,"",10,1,"1"
"Schmidt","NS","F","GI","GI9",1,"",6,1,"1"
"Schmidt","NS","F","KA","KA1",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA10",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA11",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA13",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA14",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA16",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA17",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA18",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA2",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA23",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA24",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA25",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA28",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA29",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA3",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA5",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA6",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA7",1,"",10,1,"1"
"Schmidt","NS","F","KA","KA9",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA12",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA13",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA18",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA19",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA20",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA21",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA23",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA26",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA27",1,"",4,1,"1"
"Schmidt","NS","F","MA","MA28",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA3",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA30",1,"",9,1,"1"
"Schmidt","NS","F","MA","MA31",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA32",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA33",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA5",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA6",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA7",1,"",10,1,"1"
"Schmidt","NS","F","MA","MA9",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU1",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU10",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU11",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU12",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU13",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU14",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU15",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU16",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU17",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU18",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU19",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU2",1,"",7,1,"1"
"Schmidt","NS","F","MU","MU20",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU3",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU4",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU5",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU6",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU7",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU8",1,"",10,1,"1"
"Schmidt","NS","F","MU","MU9",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE10",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE11",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE12",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE13",1,"",7,1,"1"
"Schmidt","NS","F","RE","RE15",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE16",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE17",1,"",8,1,"1"
"Schmidt","NS","F","RE","RE18",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE2",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE3",1,"",6,1,"1"
"Schmidt","NS","F","RE","RE4",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE5",1,"",5,1,"1"
"Schmidt","NS","F","RE","RE6",1,"",10,1,"1"
"Schmidt","NS","F","RE","RE7",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM13",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM17",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM18",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM2",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM20",1,"",6,1,"1"
"Schmidt","NS","F","UM","UM21",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM22",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM23",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM25",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM28",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM29",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM4",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM5",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM7",1,"",10,1,"1"
"Schmidt","NS","F","UM","UM9",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA11",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA15",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA18",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA22",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA26",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA30",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA34",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA35",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA44",1,"",8,1,"1"
"Schmidt","NS","F","VA","VA46",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA47",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA48",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA55",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA57",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA66",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA67",1,"",10,1,"1"
"Schmidt","NS","F","VA","VA71",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE11",1,"",7,1,"1"
"Schmidt","NS","F","YE","YE13",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE14",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE15",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE19",1,"",7,1,"1"
"Schmidt","NS","F","YE","YE20",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE21",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE22",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE23",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE24",1,"",8,1,"1"
"Schmidt","NS","F","YE","YE26",1,"",7,1,"1"
"Schmidt","NS","F","YE","YE27",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE33",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE40",1,"",8,1,"1"
"Schmidt","NS","F","YE","YE41",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE48",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE49",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE51",1,"",7,1,"1"
"Schmidt","NS","F","YE","YE69",1,"",10,1,"1"
"Schmidt","NS","F","YE","YE80",1,"",10,1,"1"
"Abbott","NS","F","AK","AK1",1,"",13,1,"1"
"Abbott","NS","F","AK","AK10",1,"",14,1,"1"
"Abbott","NS","F","AK","AK11",1,"",13,1,"1"
"Abbott","NS","F","AK","AK12",1,"",11,1,"1"
"Abbott","NS","F","AK","AK13",1,"",12,1,"1"
"Abbott","NS","F","AK","AK14",1,"",12,1,"1"
"Abbott","NS","F","AK","AK15",1,"",25,1,"1"
"Abbott","NS","F","AK","AK16",1,"",12,1,"1"
"Abbott","NS","F","AK","AK17",1,"",13,1,"1"
"Abbott","NS","F","AK","AK18",1,"",12,1,"1"
"Abbott","NS","F","AK","AK2",1,"",12,1,"1"
"Abbott","NS","F","AK","AK20",1,"",13,1,"1"
"Abbott","NS","F","AK","AK21",1,"",12,1,"1"
"Abbott","NS","F","AK","AK3",1,"",12,1,"1"
"Abbott","NS","F","AK","AK4",1,"",12,1,"1"
"Abbott","NS","F","AK","AK5",1,"",12,1,"1"
"Abbott","NS","F","AK","AK6",1,"",12,1,"1"
"Abbott","NS","F","AK","AK7",1,"",12,1,"1"
"Abbott","NS","F","AK","AK8",1,"",13,1,"1"
"Abbott","NS","F","AK","AK9",1,"",13,1,"1"
"Abbott","NS","F","GI","GI1",1,"",12,1,"1"
"Abbott","NS","F","GI","GI10",1,"",13,1,"1"
"Abbott","NS","F","GI","GI11",1,"",12,1,"1"
"Abbott","NS","F","GI","GI12",1,"",11,1,"1"
"Abbott","NS","F","GI","GI14",1,"",12,1,"1"
"Abbott","NS","F","GI","GI15",1,"",12,1,"1"
"Abbott","NS","F","GI","GI2",1,"",13,1,"1"
"Abbott","NS","F","GI","GI3",1,"",12,1,"1"
"Abbott","NS","F","GI","GI4",1,"",9,1,"1"
"Abbott","NS","F","GI","GI5",1,"",12,1,"1"
"Abbott","NS","F","GI","GI6",1,"",12,1,"1"
"Abbott","NS","F","GI","GI7",1,"",12,1,"1"
"Abbott","NS","F","GI","GI8",1,"",12,1,"1"
"Abbott","NS","F","GI","GI9",1,"",12,1,"1"
"Abbott","NS","F","KA","KA1",1,"",12,1,"1"
"Abbott","NS","F","KA","KA10",1,"",12,1,"1"
"Abbott","NS","F","KA","KA11",1,"",11,1,"1"
"Abbott","NS","F","KA","KA13",1,"",11,1,"1"
"Abbott","NS","F","KA","KA14",1,"",12,1,"1"
"Abbott","NS","F","KA","KA15",1,"",12,1,"1"
"Abbott","NS","F","KA","KA16",1,"",12,1,"1"
"Abbott","NS","F","KA","KA17",1,"",12,1,"1"
"Abbott","NS","F","KA","KA18",1,"",12,1,"1"
"Abbott","NS","F","KA","KA2",1,"",12,1,"1"
"Abbott","NS","F","KA","KA23",1,"",11,1,"1"
"Abbott","NS","F","KA","KA24",1,"",12,1,"1"
"Abbott","NS","F","KA","KA25",1,"",12,1,"1"
"Abbott","NS","F","KA","KA29",1,"",13,1,"1"
"Abbott","NS","F","KA","KA3",1,"",12,1,"1"
"Abbott","NS","F","KA","KA5",1,"",12,1,"1"
"Abbott","NS","F","KA","KA6",1,"",12,1,"1"
"Abbott","NS","F","KA","KA7",1,"",12,1,"1"
"Abbott","NS","F","KA","KA9",1,"",12,1,"1"
"Abbott","NS","F","MA","MA12",1,"",12,1,"1"
"Abbott","NS","F","MA","MA13",1,"",13,1,"1"
"Abbott","NS","F","MA","MA18",1,"",13,1,"1"
"Abbott","NS","F","MA","MA19",1,"",11,1,"1"
"Abbott","NS","F","MA","MA20",1,"",11,1,"1"
"Abbott","NS","F","MA","MA21",1,"",13,1,"1"
"Abbott","NS","F","MA","MA23",1,"",13,1,"1"
"Abbott","NS","F","MA","MA26",1,"",11,1,"1"
"Abbott","NS","F","MA","MA27",1,"",13,1,"1"
"Abbott","NS","F","MA","MA28",1,"",11,1,"1"
"Abbott","NS","F","MA","MA30",1,"",11,1,"1"
"Abbott","NS","F","MA","MA31",1,"",11,1,"1"
"Abbott","NS","F","MA","MA32",1,"",13,1,"1"
"Abbott","NS","F","MA","MA33",1,"",11,1,"1"
"Abbott","NS","F","MA","MA5",1,"",11,1,"1"
"Abbott","NS","F","MA","MA6",1,"",11,1,"1"
"Abbott","NS","F","MA","MA7",1,"",13,1,"1"
"Abbott","NS","F","MA","MA9",1,"",11,1,"1"
"Abbott","NS","F","MU","MU1",1,"",12,1,"1"
"Abbott","NS","F","MU","MU10",1,"",11,1,"1"
"Abbott","NS","F","MU","MU11",1,"",12,1,"1"
"Abbott","NS","F","MU","MU12",1,"",12,1,"1"
"Abbott","NS","F","MU","MU13",1,"",12,1,"1"
"Abbott","NS","F","MU","MU14",1,"",12,1,"1"
"Abbott","NS","F","MU","MU16",1,"",12,1,"1"
"Abbott","NS","F","MU","MU17",1,"",12,1,"1"
"Abbott","NS","F","MU","MU18",1,"",14,1,"1"
"Abbott","NS","F","MU","MU19",1,"",12,1,"1"
"Abbott","NS","F","MU","MU2",1,"",12,1,"1"
"Abbott","NS","F","MU","MU20",1,"",12,1,"1"
"Abbott","NS","F","MU","MU3",1,"",13,1,"1"
"Abbott","NS","F","MU","MU5",1,"",12,1,"1"
"Abbott","NS","F","MU","MU6",1,"",13,1,"1"
"Abbott","NS","F","MU","MU8",1,"",12,1,"1"
"Abbott","NS","F","MU","MU9",1,"",12,1,"1"
"Abbott","NS","F","RE","RE1",1,"",13,1,"1"
"Abbott","NS","F","RE","RE10",1,"",12,1,"1"
"Abbott","NS","F","RE","RE11",1,"",13,1,"1"
"Abbott","NS","F","RE","RE12",1,"",12,1,"1"
"Abbott","NS","F","RE","RE13",1,"",12,1,"1"
"Abbott","NS","F","RE","RE15",1,"",11,1,"1"
"Abbott","NS","F","RE","RE16",1,"",13,1,"1"
"Abbott","NS","F","RE","RE17",1,"",12,1,"1"
"Abbott","NS","F","RE","RE18",1,"",12,1,"1"
"Abbott","NS","F","RE","RE2",1,"",13,1,"1"
"Abbott","NS","F","RE","RE3",1,"",9,1,"1"
"Abbott","NS","F","RE","RE4",1,"",12,1,"1"
"Abbott","NS","F","RE","RE5",1,"",11,1,"1"
"Abbott","NS","F","RE","RE6",1,"",12,1,"1"
"Abbott","NS","F","RE","RE7",1,"",11,1,"1"
"Abbott","NS","F","RE","RE8",1,"",12,1,"1"
"Abbott","NS","F","UM","UM13",1,"",12,1,"1"
"Abbott","NS","F","UM","UM17",1,"",12,1,"1"
"Abbott","NS","F","UM","UM18",1,"",12,1,"1"
"Abbott","NS","F","UM","UM2",1,"",13,1,"1"
"Abbott","NS","F","UM","UM20",1,"",12,1,"1"
"Abbott","NS","F","UM","UM21",1,"",12,1,"1"
"Abbott","NS","F","UM","UM22",1,"",12,1,"1"
"Abbott","NS","F","UM","UM23",1,"",12,1,"1"
"Abbott","NS","F","UM","UM25",1,"",13,1,"1"
"Abbott","NS","F","UM","UM26",1,"",12,1,"1"
"Abbott","NS","F","UM","UM28",1,"",12,1,"1"
"Abbott","NS","F","UM","UM29",1,"",13,1,"1"
"Abbott","NS","F","UM","UM4",1,"",13,1,"1"
"Abbott","NS","F","UM","UM5",1,"",12,1,"1"
"Abbott","NS","F","UM","UM6",1,"",12,1,"1"
"Abbott","NS","F","UM","UM7",1,"",11,1,"1"
"Abbott","NS","F","UM","UM8",1,"",11,1,"1"
"Abbott","NS","F","UM","UM9",1,"",12,1,"1"
"Abbott","NS","F","VA","VA1",1,"",12,1,"1"
"Abbott","NS","F","VA","VA11",1,"",12,1,"1"
"Abbott","NS","F","VA","VA18",1,"",12,1,"1"
"Abbott","NS","F","VA","VA22",1,"",12,1,"1"
"Abbott","NS","F","VA","VA26",1,"",13,1,"1"
"Abbott","NS","F","VA","VA30",1,"",12,1,"1"
"Abbott","NS","F","VA","VA34",1,"",13,1,"1"
"Abbott","NS","F","VA","VA35",1,"",13,1,"1"
"Abbott","NS","F","VA","VA44",1,"",12,1,"1"
