"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Vieira","S","F","AK","AK1",3,"Vieira_5_AK1_F_1; Vieira_5_AK1_F_2; Vieira_5_AK1_F_3",3,1,"5"
"Vieira","S","F","AK","AK10",3,"Vieira_6_AK10_F_1; Vieira_6_AK10_F_2; Vieira_6_AK10_F_3",3,1,"6"
"Vieira","S","F","AK","AK11",3,"Vieira_6_AK11_F_1; Vieira_6_AK11_F_2; Vieira_6_AK11_F_3",3,1,"6"
"Vieira","S","F","AK","AK12",3,"Vieira_6_AK12_F_1; Vieira_6_AK12_F_2; Vieira_6_AK12_F_3",3,1,"6"
"Vieira","S","F","AK","AK13",3,"Vieira_6_AK13_F_1; Vieira_6_AK13_F_2; Vieira_6_AK13_F_3",3,1,"6"
"Vieira","S","F","AK","AK14",3,"Vieira_4_AK14_F_1; Vieira_4_AK14_F_2; Vieira_4_AK14_F_3",3,1,"4"
"Vieira","S","F","AK","AK15",3,"Vieira_4_AK15_F_1; Vieira_4_AK15_F_2; Vieira_4_AK15_F_3",3,1,"4"
"Vieira","S","F","AK","AK16",3,"Vieira_14_AK16_F_1; Vieira_14_AK16_F_2; Vieira_14_AK16_F_3",3,1,"14"
"Vieira","S","F","AK","AK17",3,"Vieira_14_AK17_F_1; Vieira_14_AK17_F_2; Vieira_14_AK17_F_3",3,1,"14"
"Vieira","S","F","AK","AK18",3,"Vieira_4_AK18_F_1; Vieira_4_AK18_F_2; Vieira_4_AK18_F_3",3,1,"4"
"Vieira","S","F","AK","AK19",3,"Vieira_4_AK19_F_1; Vieira_4_AK19_F_2; Vieira_4_AK19_F_3",3,1,"4"
"Vieira","S","F","AK","AK2",3,"Vieira_2_AK2_F_1; Vieira_2_AK2_F_2; Vieira_2_AK2_F_3",3,1,"2"
"Vieira","S","F","AK","AK20",3,"Vieira_8_AK20_F_1; Vieira_8_AK20_F_2; Vieira_8_AK20_F_3",3,1,"8"
"Vieira","S","F","AK","AK3",3,"Vieira_2_AK3_F_1; Vieira_2_AK3_F_2; Vieira_2_AK3_F_3",3,1,"2"
"Vieira","S","F","AK","AK4",3,"Vieira_14_AK4_F_1; Vieira_14_AK4_F_2; Vieira_14_AK4_F_3",3,1,"14"
"Vieira","S","F","AK","AK5",3,"Vieira_5_AK5_F_1; Vieira_5_AK5_F_2; Vieira_5_AK5_F_3",3,1,"5"
"Vieira","S","F","AK","AK6",3,"Vieira_8_AK6_F_1; Vieira_8_AK6_F_2; Vieira_8_AK6_F_3",3,1,"8"
"Vieira","S","F","AK","AK7",3,"Vieira_5_AK7_F_1; Vieira_5_AK7_F_2; Vieira_5_AK7_F_3",3,1,"5"
"Vieira","S","F","AK","AK8",3,"Vieira_5_AK8_F_1; Vieira_5_AK8_F_2; Vieira_5_AK8_F_3",3,1,"5"
"Vieira","S","F","AK","AK9",3,"Vieira_3_AK9_F_1; Vieira_3_AK9_F_2; Vieira_3_AK9_F_3",3,1,"3"
"Vieira","S","F","GI","GI1",3,"Vieira_7_GI1_F_1; Vieira_7_GI1_F_2; Vieira_7_GI1_F_3",3,1,"7"
"Vieira","S","F","GI","GI10",3,"Vieira_9_GI10_F_1; Vieira_9_GI10_F_2; Vieira_9_GI10_F_3",3,1,"9"
"Vieira","S","F","GI","GI11",3,"Vieira_7_GI11_F_1; Vieira_7_GI11_F_2; Vieira_7_GI11_F_3",3,1,"7"
"Vieira","S","F","GI","GI12",3,"Vieira_9_GI12_F_1; Vieira_9_GI12_F_2; Vieira_9_GI12_F_3",3,1,"9"
"Vieira","S","F","GI","GI13",3,"Vieira_9_GI13_F_1; Vieira_9_GI13_F_2; Vieira_9_GI13_F_3",3,1,"9"
"Vieira","S","F","GI","GI15",3,"Vieira_7_GI15_F_1; Vieira_7_GI15_F_2; Vieira_7_GI15_F_3",3,1,"7"
"Vieira","S","F","GI","GI2",3,"Vieira_2_GI2_F_1; Vieira_2_GI2_F_2; Vieira_2_GI2_F_3",3,1,"2"
"Vieira","S","F","GI","GI3",3,"Vieira_2_GI3_F_1; Vieira_2_GI3_F_2; Vieira_2_GI3_F_3",3,1,"2"
"Vieira","S","F","GI","GI4",3,"Vieira_5_GI4_F_1; Vieira_5_GI4_F_2; Vieira_5_GI4_F_3",3,1,"5"
"Vieira","S","F","GI","GI5",3,"Vieira_8_GI5_F_1; Vieira_8_GI5_F_2; Vieira_8_GI5_F_3",3,1,"8"
"Vieira","S","F","GI","GI7",3,"Vieira_3_GI7_F_1; Vieira_3_GI7_F_2; Vieira_3_GI7_F_3",3,1,"3"
"Vieira","S","F","GI","GI8",3,"Vieira_8_GI8_F_1; Vieira_8_GI8_F_2; Vieira_8_GI8_F_3",3,1,"8"
"Vieira","S","F","GI","GI9",3,"Vieira_9_GI9_F_1; Vieira_9_GI9_F_2; Vieira_9_GI9_F_3",3,1,"9"
"Vieira","S","F","KA","KA1",3,"Vieira_17_KA1_F_1; Vieira_17_KA1_F_2; Vieira_17_KA1_F_3",3,1,"17"
"Vieira","S","F","KA","KA10",3,"Vieira_16_KA10_F_1; Vieira_16_KA10_F_2; Vieira_16_KA10_F_3",3,1,"16"
"Vieira","S","F","KA","KA11",3,"Vieira_19_KA11_F_1; Vieira_19_KA11_F_2; Vieira_19_KA11_F_3",3,1,"19"
"Vieira","S","F","KA","KA13",3,"Vieira_19_KA13_F_1; Vieira_19_KA13_F_2; Vieira_19_KA13_F_3",3,1,"19"
"Vieira","S","F","KA","KA14",3,"Vieira_19_KA14_F_1; Vieira_19_KA14_F_2; Vieira_19_KA14_F_3",3,1,"19"
"Vieira","S","F","KA","KA15",3,"Vieira_20_KA15_F_1; Vieira_20_KA15_F_2; Vieira_20_KA15_F_3",3,1,"20"
"Vieira","S","F","KA","KA16",3,"Vieira_20_KA16_F_1; Vieira_20_KA16_F_2; Vieira_20_KA16_F_3",3,1,"20"
"Vieira","S","F","KA","KA17",3,"Vieira_21_KA17_F_1; Vieira_21_KA17_F_2; Vieira_21_KA17_F_3",3,1,"21"
"Vieira","S","F","KA","KA18",3,"Vieira_21_KA18_F_1; Vieira_21_KA18_F_2; Vieira_21_KA18_F_3",3,1,"21"
