"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Parsch","NS","M","AK","AK21",5,"Parsch_1_AK21_1; Parsch_1_AK21_2; Parsch_1_AK21_3; Parsch_2_AK21_4; Parsch_2_AK21_5",48,2,"1; 2"
"Parsch","NS","M","AK","AK3",5,"Parsch_1_AK3_1; Parsch_2_AK3_2; Parsch_2_AK3_3; Parsch_2_AK3_4; Parsch_2_AK3_5",43,2,"1; 2"
"Parsch","NS","M","AK","AK4",6,"Parsch_1_AK4_1; Parsch_1_AK4_2; Parsch_1_AK4_3; Parsch_2_AK4_4; Parsch_2_AK4_5; Parsch_2_AK4_6",55,2,"1; 2"
"Parsch","NS","M","AK","AK6",5,"Parsch_1_AK6_1; Parsch_2_AK6_2; Parsch_2_AK6_3; Parsch_2_AK6_4; Parsch_2_AK6_5",44,2,"1; 2"
"Parsch","NS","M","AK","AK7",5,"Parsch_1_AK7_1; Parsch_1_AK7_2; Parsch_1_AK7_3; Parsch_2_AK7_4; Parsch_2_AK7_5",46,2,"1; 2"
"Parsch","NS","M","AK","AK8",5,"Parsch_1_AK8_1; Parsch_1_AK8_2; Parsch_2_AK8_3; Parsch_2_AK8_4; Parsch_2_AK8_5",44,2,"1; 2"
"Parsch","NS","M","AK","AK9",5,"Parsch_1_AK9_1; Parsch_1_AK9_2; Parsch_1_AK9_3; Parsch_2_AK9_4; Parsch_2_AK9_5",45,2,"1; 2"
"Parsch","NS","M","GI","GI1",5,"Parsch_1_GI1_1; Parsch_1_GI1_2; Parsch_2_GI1_3; Parsch_2_GI1_4; Parsch_2_GI1_5",45,2,"1; 2"
"Parsch","NS","M","GI","GI10",5,"Parsch_1_GI10_1; Parsch_1_GI10_2; Parsch_1_GI10_3; Parsch_2_GI10_4; Parsch_2_GI10_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI11",5,"Parsch_1_GI11_1; Parsch_1_GI11_2; Parsch_1_GI11_3; Parsch_2_GI11_4; Parsch_2_GI11_5",44,2,"1; 2"
"Parsch","NS","M","GI","GI12",5,"Parsch_1_GI12_1; Parsch_1_GI12_2; Parsch_1_GI12_3; Parsch_2_GI12_4; Parsch_2_GI12_5",48,2,"1; 2"
"Parsch","NS","M","GI","GI13",5,"Parsch_1_GI13_1; Parsch_2_GI13_2; Parsch_2_GI13_3; Parsch_2_GI13_4; Parsch_2_GI13_5",42,2,"1; 2"
"Parsch","NS","M","GI","GI14",5,"Parsch_1_GI14_1; Parsch_1_GI14_2; Parsch_1_GI14_3; Parsch_2_GI14_4; Parsch_2_GI14_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI15",5,"Parsch_1_GI15_1; Parsch_1_GI15_2; Parsch_2_GI15_3; Parsch_2_GI15_4; Parsch_2_GI15_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI2",5,"Parsch_1_GI2_1; Parsch_1_GI2_2; Parsch_2_GI2_3; Parsch_2_GI2_4; Parsch_2_GI2_5",48,2,"1; 2"
"Parsch","NS","M","GI","GI3",5,"Parsch_1_GI3_1; Parsch_1_GI3_2; Parsch_1_GI3_3; Parsch_2_GI3_4; Parsch_2_GI3_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI4",5,"Parsch_1_GI4_1; Parsch_1_GI4_2; Parsch_2_GI4_3; Parsch_2_GI4_4; Parsch_2_GI4_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI5",5,"Parsch_1_GI5_1; Parsch_1_GI5_2; Parsch_1_GI5_3; Parsch_2_GI5_4; Parsch_2_GI5_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI6",5,"Parsch_1_GI6_1; Parsch_1_GI6_2; Parsch_2_GI6_3; Parsch_2_GI6_4; Parsch_2_GI6_5",49,2,"1; 2"
"Parsch","NS","M","GI","GI7",6,"Parsch_1_GI7_1; Parsch_2_GI7_2; Parsch_2_GI7_3; Parsch_2_GI7_4; Parsch_2_GI7_5; Parsch_2_GI7_6",55,2,"1; 2"
"Parsch","NS","M","GI","GI8",5,"Parsch_1_GI8_1; Parsch_1_GI8_2; Parsch_2_GI8_3; Parsch_2_GI8_4; Parsch_2_GI8_5",47,2,"1; 2"
"Parsch","NS","M","GI","GI9",5,"Parsch_1_GI9_1; Parsch_2_GI9_2; Parsch_2_GI9_3; Parsch_2_GI9_4; Parsch_2_GI9_5",46,2,"1; 2"
"Parsch","NS","M","KA","KA1",5,"Parsch_1_KA1_1; Parsch_1_KA1_2; Parsch_1_KA1_3; Parsch_2_KA1_4; Parsch_2_KA1_5",47,2,"1; 2"
"Parsch","NS","M","KA","KA10",5,"Parsch_1_KA10_1; Parsch_1_KA10_2; Parsch_1_KA10_3; Parsch_2_KA10_4; Parsch_2_KA10_5",49,2,"1; 2"
"Parsch","NS","M","KA","KA11",5,"Parsch_1_KA11_1; Parsch_1_KA11_2; Parsch_1_KA11_3; Parsch_2_KA11_4; Parsch_2_KA11_5",47,2,"1; 2"
"Parsch","NS","M","KA","KA14",5,"Parsch_1_KA14_1; Parsch_1_KA14_2; Parsch_1_KA14_3; Parsch_2_KA14_4; Parsch_2_KA14_5",47,2,"1; 2"
"Parsch","NS","M","KA","KA15",5,"Parsch_1_KA15_1; Parsch_1_KA15_2; Parsch_1_KA15_3; Parsch_2_KA15_4; Parsch_2_KA15_5",45,2,"1; 2"
"Parsch","NS","M","KA","KA17",5,"Parsch_1_KA17_1; Parsch_1_KA17_2; Parsch_1_KA17_3; Parsch_2_KA17_4; Parsch_2_KA17_5",50,2,"1; 2"
"Parsch","NS","M","KA","KA18",5,"Parsch_1_KA18_1; Parsch_1_KA18_2; Parsch_2_KA18_3; Parsch_2_KA18_4; Parsch_2_KA18_5",48,2,"1; 2"
"Parsch","NS","M","KA","KA23",5,"Parsch_1_KA23_1; Parsch_1_KA23_2; Parsch_1_KA23_3; Parsch_2_KA23_4; Parsch_2_KA23_5",46,2,"1; 2"
"Parsch","NS","M","KA","KA24",5,"Parsch_1_KA24_1; Parsch_1_KA24_2; Parsch_1_KA24_3; Parsch_2_KA24_4; Parsch_2_KA24_5",45,2,"1; 2"
"Parsch","NS","M","KA","KA28",5,"Parsch_1_KA28_1; Parsch_1_KA28_2; Parsch_1_KA28_3; Parsch_2_KA28_4; Parsch_2_KA28_5",47,2,"1; 2"
"Parsch","NS","M","KA","KA29",5,"Parsch_1_KA29_1; Parsch_1_KA29_2; Parsch_1_KA29_3; Parsch_2_KA29_4; Parsch_2_KA29_5",46,2,"1; 2"
"Parsch","NS","M","KA","KA3",5,"Parsch_1_KA3_1; Parsch_1_KA3_2; Parsch_1_KA3_3; Parsch_2_KA3_4; Parsch_2_KA3_5",46,2,"1; 2"
"Parsch","NS","M","KA","KA5",5,"Parsch_1_KA5_1; Parsch_1_KA5_2; Parsch_1_KA5_3; Parsch_2_KA5_4; Parsch_2_KA5_5",46,2,"1; 2"
"Parsch","NS","M","KA","KA7",5,"Parsch_1_KA7_1; Parsch_1_KA7_2; Parsch_1_KA7_3; Parsch_2_KA7_4; Parsch_2_KA7_5",44,2,"1; 2"
"Parsch","NS","M","KA","KA9",5,"Parsch_1_KA9_1; Parsch_1_KA9_2; Parsch_1_KA9_3; Parsch_2_KA9_4; Parsch_2_KA9_5",49,2,"1; 2"
"Parsch","NS","M","MA","MA12",5,"Parsch_1_MA12_1; Parsch_1_MA12_2; Parsch_1_MA12_3; Parsch_2_MA12_4; Parsch_2_MA12_5",47,2,"1; 2"
"Parsch","NS","M","MA","MA16",5,"Parsch_1_MA16_1; Parsch_1_MA16_2; Parsch_1_MA16_3; Parsch_2_MA16_4; Parsch_2_MA16_5",45,2,"1; 2"
"Parsch","NS","M","MA","MA18",5,"Parsch_1_MA18_1; Parsch_1_MA18_2; Parsch_1_MA18_3; Parsch_2_MA18_4; Parsch_2_MA18_5",49,2,"1; 2"
"Parsch","NS","M","MA","MA19",5,"Parsch_1_MA19_1; Parsch_1_MA19_2; Parsch_1_MA19_3; Parsch_2_MA19_4; Parsch_2_MA19_5",42,2,"1; 2"
"Parsch","NS","M","MA","MA20",5,"Parsch_1_MA20_1; Parsch_1_MA20_2; Parsch_1_MA20_3; Parsch_2_MA20_4; Parsch_2_MA20_5",48,2,"1; 2"
"Parsch","NS","M","MA","MA21",5,"Parsch_1_MA21_1; Parsch_1_MA21_2; Parsch_1_MA21_3; Parsch_2_MA21_4; Parsch_2_MA21_5",41,2,"1; 2"
"Parsch","NS","M","MA","MA23",5,"Parsch_1_MA23_1; Parsch_1_MA23_2; Parsch_1_MA23_3; Parsch_2_MA23_4; Parsch_2_MA23_5",48,2,"1; 2"
"Parsch","NS","M","MA","MA26",5,"Parsch_1_MA26_1; Parsch_1_MA26_2; Parsch_2_MA26_3; Parsch_2_MA26_4; Parsch_2_MA26_5",44,2,"1; 2"
"Parsch","NS","M","MA","MA3",5,"Parsch_1_MA3_1; Parsch_1_MA3_2; Parsch_1_MA3_3; Parsch_2_MA3_4; Parsch_2_MA3_5",50,2,"1; 2"
"Parsch","NS","M","MA","MA30",5,"Parsch_1_MA30_1; Parsch_1_MA30_2; Parsch_1_MA30_3; Parsch_2_MA30_4; Parsch_2_MA30_5",42,2,"1; 2"
"Parsch","NS","M","MA","MA33",5,"Parsch_1_MA33_1; Parsch_1_MA33_2; Parsch_1_MA33_3; Parsch_2_MA33_4; Parsch_2_MA33_5",44,2,"1; 2"
"Parsch","NS","M","MA","MA5",5,"Parsch_1_MA5_1; Parsch_1_MA5_2; Parsch_1_MA5_3; Parsch_2_MA5_4; Parsch_2_MA5_5",50,2,"1; 2"
"Parsch","NS","M","MA","MA6",6,"Parsch_1_MA6_1; Parsch_1_MA6_2; Parsch_1_MA6_3; Parsch_2_MA6_4; Parsch_2_MA6_5; Parsch_2_MA6_6",57,2,"1; 2"
"Parsch","NS","M","MA","MA7",4,"Parsch_1_MA7_1; Parsch_1_MA7_2; Parsch_1_MA7_3; Parsch_2_MA7_5",36,2,"1; 2"
"Parsch","NS","M","MA","MA9",5,"Parsch_1_MA9_1; Parsch_1_MA9_2; Parsch_1_MA9_3; Parsch_2_MA9_4; Parsch_2_MA9_5",43,2,"1; 2"
"Parsch","NS","M","MU","MU1",5,"Parsch_1_MU1_1; Parsch_1_MU1_2; Parsch_1_MU1_3; Parsch_2_MU1_4; Parsch_2_MU1_5",44,2,"1; 2"
"Parsch","NS","M","MU","MU10",5,"Parsch_1_MU10_1; Parsch_1_MU10_2; Parsch_1_MU10_3; Parsch_2_MU10_4; Parsch_2_MU10_5",41,2,"1; 2"
"Parsch","NS","M","MU","MU11",5,"Parsch_1_MU11_1; Parsch_1_MU11_2; Parsch_2_MU11_3; Parsch_2_MU11_4; Parsch_2_MU11_5",46,2,"1; 2"
"Parsch","NS","M","MU","MU14",5,"Parsch_1_MU14_1; Parsch_1_MU14_2; Parsch_2_MU14_3; Parsch_2_MU14_4; Parsch_2_MU14_5",44,2,"1; 2"
"Parsch","NS","M","MU","MU15",5,"Parsch_1_MU15_1; Parsch_1_MU15_2; Parsch_1_MU15_3; Parsch_2_MU15_4; Parsch_2_MU15_5",48,2,"1; 2"
"Parsch","NS","M","MU","MU17",5,"Parsch_1_MU17_1; Parsch_1_MU17_2; Parsch_2_MU17_3; Parsch_2_MU17_4; Parsch_2_MU17_5",45,2,"1; 2"
"Parsch","NS","M","MU","MU18",5,"Parsch_1_MU18_1; Parsch_1_MU18_2; Parsch_1_MU18_3; Parsch_2_MU18_4; Parsch_2_MU18_5",44,2,"1; 2"
"Parsch","NS","M","MU","MU2",5,"Parsch_1_MU2_1; Parsch_1_MU2_2; Parsch_1_MU2_3; Parsch_2_MU2_4; Parsch_2_MU2_5",44,2,"1; 2"
"Parsch","NS","M","MU","MU20",5,"Parsch_1_MU20_1; Parsch_1_MU20_2; Parsch_1_MU20_3; Parsch_2_MU20_4; Parsch_2_MU20_5",47,2,"1; 2"
"Parsch","NS","M","MU","MU3",5,"Parsch_1_MU3_1; Parsch_1_MU3_2; Parsch_1_MU3_3; Parsch_2_MU3_4; Parsch_2_MU3_5",46,2,"1; 2"
"Parsch","NS","M","MU","MU4",5,"Parsch_1_MU4_1; Parsch_1_MU4_2; Parsch_1_MU4_3; Parsch_2_MU4_4; Parsch_2_MU4_5",48,2,"1; 2"
"Parsch","NS","M","MU","MU5",5,"Parsch_1_MU5_1; Parsch_2_MU5_2; Parsch_2_MU5_3; Parsch_2_MU5_4; Parsch_2_MU5_5",48,2,"1; 2"
"Parsch","NS","M","MU","MU6",5,"Parsch_1_MU6_1; Parsch_1_MU6_2; Parsch_1_MU6_3; Parsch_2_MU6_4; Parsch_2_MU6_5",48,2,"1; 2"
"Parsch","NS","M","MU","MU7",5,"Parsch_1_MU7_1; Parsch_1_MU7_2; Parsch_1_MU7_3; Parsch_2_MU7_4; Parsch_2_MU7_5",46,2,"1; 2"
"Parsch","NS","M","MU","MU9",5,"Parsch_1_MU9_1; Parsch_1_MU9_2; Parsch_1_MU9_3; Parsch_2_MU9_4; Parsch_2_MU9_5",46,2,"1; 2"
"Parsch","NS","M","RE","RE10",5,"Parsch_1_RE10_1; Parsch_1_RE10_2; Parsch_1_RE10_3; Parsch_2_RE10_4; Parsch_2_RE10_5",46,2,"1; 2"
"Parsch","NS","M","RE","RE11",5,"Parsch_1_RE11_1; Parsch_1_RE11_2; Parsch_2_RE11_3; Parsch_2_RE11_4; Parsch_2_RE11_5",46,2,"1; 2"
"Parsch","NS","M","RE","RE12",5,"Parsch_1_RE12_1; Parsch_1_RE12_2; Parsch_1_RE12_3; Parsch_2_RE12_4; Parsch_2_RE12_5",47,2,"1; 2"
"Parsch","NS","M","RE","RE13",5,"Parsch_1_RE13_1; Parsch_1_RE13_2; Parsch_2_RE13_3; Parsch_2_RE13_4; Parsch_2_RE13_5",48,2,"1; 2"
"Parsch","NS","M","RE","RE15",5,"Parsch_1_RE15_1; Parsch_1_RE15_2; Parsch_1_RE15_3; Parsch_2_RE15_4; Parsch_2_RE15_5",43,2,"1; 2"
"Parsch","NS","M","RE","RE16",5,"Parsch_1_RE16_1; Parsch_1_RE16_2; Parsch_1_RE16_3; Parsch_2_RE16_4; Parsch_2_RE16_5",45,2,"1; 2"
"Parsch","NS","M","RE","RE17",5,"Parsch_1_RE17_1; Parsch_1_RE17_2; Parsch_1_RE17_3; Parsch_2_RE17_4; Parsch_2_RE17_5",47,2,"1; 2"
"Parsch","NS","M","RE","RE18",5,"Parsch_1_RE18_1; Parsch_1_RE18_2; Parsch_1_RE18_3; Parsch_2_RE18_4; Parsch_2_RE18_5",42,2,"1; 2"
"Parsch","NS","M","RE","RE2",5,"Parsch_1_RE2_1; Parsch_1_RE2_2; Parsch_1_RE2_3; Parsch_2_RE2_4; Parsch_2_RE2_5",44,2,"1; 2"
"Parsch","NS","M","RE","RE3",5,"Parsch_1_RE3_1; Parsch_1_RE3_2; Parsch_1_RE3_3; Parsch_2_RE3_4; Parsch_2_RE3_5",48,2,"1; 2"
"Parsch","NS","M","RE","RE4",5,"Parsch_1_RE4_1; Parsch_1_RE4_2; Parsch_1_RE4_3; Parsch_2_RE4_4; Parsch_2_RE4_5",46,2,"1; 2"
"Parsch","NS","M","RE","RE5",5,"Parsch_1_RE5_1; Parsch_1_RE5_2; Parsch_1_RE5_3; Parsch_2_RE5_4; Parsch_2_RE5_5",46,2,"1; 2"
"Parsch","NS","M","RE","RE6",5,"Parsch_1_RE6_1; Parsch_1_RE6_2; Parsch_1_RE6_3; Parsch_2_RE6_4; Parsch_2_RE6_5",48,2,"1; 2"
"Parsch","NS","M","RE","RE7",5,"Parsch_1_RE7_1; Parsch_1_RE7_2; Parsch_1_RE7_3; Parsch_2_RE7_4; Parsch_2_RE7_5",48,2,"1; 2"
"Parsch","NS","M","RE","RE8",5,"Parsch_1_RE8_1; Parsch_1_RE8_2; Parsch_1_RE8_3; Parsch_2_RE8_4; Parsch_2_RE8_5",48,2,"1; 2"
"Parsch","NS","M","UM","UM13",5,"Parsch_1_UM13_1; Parsch_1_UM13_2; Parsch_1_UM13_3; Parsch_2_UM13_4; Parsch_2_UM13_5",46,2,"1; 2"
"Parsch","NS","M","UM","UM17",5,"Parsch_1_UM17_1; Parsch_1_UM17_2; Parsch_2_UM17_3; Parsch_2_UM17_4; Parsch_2_UM17_5",49,2,"1; 2"
"Parsch","NS","M","UM","UM18",5,"Parsch_1_UM18_1; Parsch_1_UM18_2; Parsch_1_UM18_3; Parsch_2_UM18_4; Parsch_2_UM18_5",47,2,"1; 2"
"Parsch","NS","M","UM","UM2",5,"Parsch_1_UM2_1; Parsch_1_UM2_2; Parsch_1_UM2_3; Parsch_2_UM2_4; Parsch_2_UM2_5",48,2,"1; 2"
"Parsch","NS","M","UM","UM20",5,"Parsch_1_UM20_1; Parsch_1_UM20_2; Parsch_1_UM20_3; Parsch_2_UM20_4; Parsch_2_UM20_5",44,2,"1; 2"
"Parsch","NS","M","UM","UM21",5,"Parsch_1_UM21_1; Parsch_1_UM21_2; Parsch_2_UM21_3; Parsch_2_UM21_4; Parsch_2_UM21_5",48,2,"1; 2"
"Parsch","NS","M","UM","UM23",5,"Parsch_1_UM23_1; Parsch_1_UM23_2; Parsch_1_UM23_3; Parsch_2_UM23_4; Parsch_2_UM23_5",46,2,"1; 2"
"Parsch","NS","M","UM","UM25",5,"Parsch_1_UM25_1; Parsch_1_UM25_2; Parsch_1_UM25_3; Parsch_2_UM25_4; Parsch_2_UM25_5",43,2,"1; 2"
"Parsch","NS","M","UM","UM26",5,"Parsch_1_UM26_1; Parsch_1_UM26_2; Parsch_2_UM26_3; Parsch_2_UM26_4; Parsch_2_UM26_5",44,2,"1; 2"
"Parsch","NS","M","UM","UM28",5,"Parsch_1_UM28_1; Parsch_1_UM28_2; Parsch_1_UM28_3; Parsch_2_UM28_4; Parsch_2_UM28_5",48,2,"1; 2"
"Parsch","NS","M","UM","UM29",5,"Parsch_1_UM29_1; Parsch_1_UM29_2; Parsch_1_UM29_3; Parsch_2_UM29_4; Parsch_2_UM29_5",43,2,"1; 2"
"Parsch","NS","M","UM","UM4",5,"Parsch_1_UM4_1; Parsch_1_UM4_2; Parsch_1_UM4_3; Parsch_2_UM4_4; Parsch_2_UM4_5",48,2,"1; 2"
"Parsch","NS","M","UM","UM5",5,"Parsch_1_UM5_1; Parsch_1_UM5_2; Parsch_1_UM5_3; Parsch_2_UM5_4; Parsch_2_UM5_5",47,2,"1; 2"
"Parsch","NS","M","UM","UM7",5,"Parsch_1_UM7_1; Parsch_1_UM7_2; Parsch_1_UM7_3; Parsch_2_UM7_4; Parsch_2_UM7_5",43,2,"1; 2"
"Parsch","NS","M","UM","UM9",5,"Parsch_1_UM9_1; Parsch_1_UM9_2; Parsch_1_UM9_3; Parsch_2_UM9_4; Parsch_2_UM9_5",48,2,"1; 2"
"Parsch","NS","M","VA","VA1",5,"Parsch_1_VA1_1; Parsch_1_VA1_2; Parsch_1_VA1_3; Parsch_2_VA1_4; Parsch_2_VA1_5",45,2,"1; 2"
"Parsch","NS","M","VA","VA18",5,"Parsch_1_VA18_1; Parsch_1_VA18_2; Parsch_1_VA18_3; Parsch_2_VA18_4; Parsch_2_VA18_5",49,2,"1; 2"
"Parsch","NS","M","VA","VA22",5,"Parsch_1_VA22_1; Parsch_1_VA22_2; Parsch_1_VA22_3; Parsch_2_VA22_4; Parsch_2_VA22_5",43,2,"1; 2"
"Parsch","NS","M","VA","VA26",5,"Parsch_1_VA26_1; Parsch_1_VA26_2; Parsch_1_VA26_3; Parsch_2_VA26_4; Parsch_2_VA26_5",46,2,"1; 2"
"Parsch","NS","M","VA","VA30",5,"Parsch_1_VA30_1; Parsch_1_VA30_2; Parsch_2_VA30_3; Parsch_2_VA30_4; Parsch_2_VA30_5",46,2,"1; 2"
"Parsch","NS","M","VA","VA34",5,"Parsch_1_VA34_1; Parsch_1_VA34_2; Parsch_1_VA34_3; Parsch_2_VA34_4; Parsch_2_VA34_5",38,2,"1; 2"
"Parsch","NS","M","VA","VA47",5,"Parsch_1_VA47_1; Parsch_1_VA47_2; Parsch_1_VA47_3; Parsch_2_VA47_4; Parsch_2_VA47_5",49,2,"1; 2"
"Parsch","NS","M","VA","VA48",5,"Parsch_1_VA48_1; Parsch_1_VA48_2; Parsch_2_VA48_3; Parsch_2_VA48_4; Parsch_2_VA48_5",46,2,"1; 2"
"Parsch","NS","M","VA","VA55",6,"Parsch_1_VA55_1; Parsch_1_VA55_2; Parsch_2_VA55_3; Parsch_2_VA55_4; Parsch_2_VA55_5; Parsch_2_VA55_6",54,2,"1; 2"
"Parsch","NS","M","VA","VA57",5,"Parsch_1_VA57_1; Parsch_1_VA57_2; Parsch_1_VA57_3; Parsch_2_VA57_4; Parsch_2_VA57_5",47,2,"1; 2"
"Parsch","NS","M","VA","VA6",5,"Parsch_1_VA6_1; Parsch_1_VA6_2; Parsch_1_VA6_3; Parsch_2_VA6_4; Parsch_2_VA6_5",49,2,"1; 2"
"Parsch","NS","M","VA","VA66",5,"Parsch_1_VA66_1; Parsch_1_VA66_2; Parsch_1_VA66_3; Parsch_2_VA66_4; Parsch_2_VA66_5",48,2,"1; 2"
"Parsch","NS","M","VA","VA67",5,"Parsch_1_VA67_1; Parsch_1_VA67_2; Parsch_1_VA67_3; Parsch_2_VA67_4; Parsch_2_VA67_5",43,2,"1; 2"
"Parsch","NS","M","VA","VA71",5,"Parsch_1_VA71_1; Parsch_1_VA71_2; Parsch_1_VA71_3; Parsch_2_VA71_4; Parsch_2_VA71_5",46,2,"1; 2"
"Parsch","NS","M","VA","VA9",6,"Parsch_1_VA9_1; Parsch_1_VA9_2; Parsch_1_VA9_3; Parsch_2_VA9_4; Parsch_2_VA9_5; Parsch_2_VA9_6",53,2,"1; 2"
"Parsch","NS","M","YE","YE11",5,"Parsch_1_YE11_1; Parsch_1_YE11_2; Parsch_1_YE11_3; Parsch_2_YE11_4; Parsch_2_YE11_5",50,2,"1; 2"
"Parsch","NS","M","YE","YE13",5,"Parsch_1_YE13_1; Parsch_1_YE13_2; Parsch_1_YE13_3; Parsch_2_YE13_4; Parsch_2_YE13_5",45,2,"1; 2"
"Parsch","NS","M","YE","YE15",5,"Parsch_1_YE15_1; Parsch_1_YE15_2; Parsch_2_YE15_3; Parsch_2_YE15_4; Parsch_2_YE15_5",48,2,"1; 2"
"Parsch","NS","M","YE","YE19",5,"Parsch_1_YE19_1; Parsch_1_YE19_2; Parsch_1_YE19_3; Parsch_2_YE19_4; Parsch_2_YE19_5",44,2,"1; 2"
"Parsch","NS","M","YE","YE21",5,"Parsch_1_YE21_1; Parsch_1_YE21_2; Parsch_1_YE21_3; Parsch_2_YE21_4; Parsch_2_YE21_5",49,2,"1; 2"
"Parsch","NS","M","YE","YE22",5,"Parsch_1_YE22_1; Parsch_1_YE22_2; Parsch_2_YE22_3; Parsch_2_YE22_4; Parsch_2_YE22_5",45,2,"1; 2"
"Parsch","NS","M","YE","YE23",5,"Parsch_1_YE23_1; Parsch_1_YE23_2; Parsch_1_YE23_3; Parsch_2_YE23_4; Parsch_2_YE23_5",47,2,"1; 2"
"Parsch","NS","M","YE","YE24",5,"Parsch_1_YE24_1; Parsch_1_YE24_2; Parsch_2_YE24_3; Parsch_2_YE24_4; Parsch_2_YE24_5",45,2,"1; 2"
"Parsch","NS","M","YE","YE26",5,"Parsch_1_YE26_1; Parsch_1_YE26_2; Parsch_1_YE26_3; Parsch_2_YE26_4; Parsch_2_YE26_5",48,2,"1; 2"
"Parsch","NS","M","YE","YE33",5,"Parsch_1_YE33_1; Parsch_1_YE33_2; Parsch_1_YE33_3; Parsch_2_YE33_4; Parsch_2_YE33_5",48,2,"1; 2"
"Parsch","NS","M","YE","YE40",5,"Parsch_1_YE40_1; Parsch_1_YE40_2; Parsch_1_YE40_3; Parsch_2_YE40_4; Parsch_2_YE40_5",43,2,"1; 2"
"Parsch","NS","M","YE","YE48",5,"Parsch_1_YE48_1; Parsch_1_YE48_2; Parsch_1_YE48_3; Parsch_2_YE48_4; Parsch_2_YE48_5",43,2,"1; 2"
"Parsch","NS","M","YE","YE51",5,"Parsch_1_YE51_1; Parsch_1_YE51_2; Parsch_1_YE51_3; Parsch_2_YE51_4; Parsch_2_YE51_5",50,2,"1; 2"
"Parsch","NS","M","YE","YE69",5,"Parsch_1_YE69_1; Parsch_1_YE69_2; Parsch_1_YE69_3; Parsch_2_YE69_4; Parsch_2_YE69_5",48,2,"1; 2"
"Parsch","NS","M","YE","YE80",5,"Parsch_1_YE80_1; Parsch_1_YE80_2; Parsch_1_YE80_3; Parsch_2_YE80_4; Parsch_2_YE80_5",46,2,"1; 2"
"Pasyukova","S","F","AK","AK1",8,"Pasyukova_1_AK1_1; Pasyukova_1_AK1_2; Pasyukova_1_AK1_3; Pasyukova_2_AK1_1; Pasyukova_2_AK1_2; Pasyukova_2_AK1_3; Pasyukova_2_AK1_4; Pasyukova_2_AK1_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK10",8,"Pasyukova_1_AK10_1; Pasyukova_1_AK10_2; Pasyukova_1_AK10_3; Pasyukova_2_AK10_1; Pasyukova_2_AK10_2; Pasyukova_2_AK10_3; Pasyukova_2_AK10_4; Pasyukova_2_AK10_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK11",8,"Pasyukova_1_AK11_1; Pasyukova_1_AK11_2; Pasyukova_1_AK11_3; Pasyukova_2_AK11_1; Pasyukova_2_AK11_2; Pasyukova_2_AK11_3; Pasyukova_2_AK11_4; Pasyukova_2_AK11_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK12",8,"Pasyukova_1_AK12_1; Pasyukova_1_AK12_2; Pasyukova_1_AK12_3; Pasyukova_2_AK12_1; Pasyukova_2_AK12_2; Pasyukova_2_AK12_3; Pasyukova_2_AK12_4; Pasyukova_2_AK12_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK13",8,"Pasyukova_1_AK13_1; Pasyukova_1_AK13_2; Pasyukova_1_AK13_3; Pasyukova_2_AK13_1; Pasyukova_2_AK13_2; Pasyukova_2_AK13_3; Pasyukova_2_AK13_4; Pasyukova_2_AK13_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK14",8,"Pasyukova_1_AK14_1; Pasyukova_1_AK14_2; Pasyukova_1_AK14_3; Pasyukova_2_AK14_1; Pasyukova_2_AK14_2; Pasyukova_2_AK14_3; Pasyukova_2_AK14_4; Pasyukova_2_AK14_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK15",8,"Pasyukova_1_AK15_1; Pasyukova_1_AK15_2; Pasyukova_1_AK15_3; Pasyukova_2_AK15_1; Pasyukova_2_AK15_2; Pasyukova_2_AK15_3; Pasyukova_2_AK15_4; Pasyukova_2_AK15_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK16",8,"Pasyukova_1_AK16_1; Pasyukova_1_AK16_2; Pasyukova_1_AK16_3; Pasyukova_2_AK16_1; Pasyukova_2_AK16_2; Pasyukova_2_AK16_3; Pasyukova_2_AK16_4; Pasyukova_2_AK16_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK17",8,"Pasyukova_1_AK17_1; Pasyukova_1_AK17_2; Pasyukova_1_AK17_3; Pasyukova_2_AK17_1; Pasyukova_2_AK17_2; Pasyukova_2_AK17_3; Pasyukova_2_AK17_4; Pasyukova_2_AK17_5",80,2,"1; 2"
"Pasyukova","S","F","AK","AK18",8,"Pasyukova_1_AK18_1; Pasyukova_1_AK18_2; Pasyukova_1_AK18_3; Pasyukova_2_AK18_1; Pasyukova_2_AK18_2; Pasyukova_2_AK18_3; Pasyukova_2_AK18_4; Pasyukova_2_AK18_5",80,2,"1; 2"
