Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
CCRT	YE	YE11	F	1740.79464412226	253.86048493627	1243.2372365493	2238.35205169523	2
CCRT	YE	YE13	F	1781.81658224754	127.750248998873	1531.43069519373	2032.20246930136	2
CCRT	YE	YE14	F	1671.9186945151	171.611807913264	1335.5657316833	2008.2716573469	2
CCRT	YE	YE15	F	1362.87595315711	113.235779969663	1140.93790265527	1584.81400365895	2
CCRT	YE	YE19	F	1472.42882515899	210.735198535095	1059.39542575531	1885.46222456268	2
CCRT	YE	YE20	F	1591.9648473831	273.35131192843	1056.2061208766	2127.7235738896	2
CCRT	YE	YE21	F	1708.46570596602	192.666579136497	1330.84614983395	2086.08526209809	2
CCRT	YE	YE22	F	1709.39877936173	127.344001500036	1459.80912277444	1958.98843594901	2
CCRT	YE	YE23	F	1795.41050200884	359.551392122852	1090.70272285681	2500.11828116087	2
CCRT	YE	YE24	F	1558.87233759256	113.150406803759	1337.10161542114	1780.64305976398	2
CCRT	YE	YE26	F	1569.54201311715	151.194105931878	1273.20701081593	1865.87701541836	2
CCRT	YE	YE27	F	1457.21291023816	119.676817574007	1222.65065800874	1691.77516246759	2
CCRT	YE	YE33	F	1755.8668163199	187.454321719631	1388.46309700304	2123.27053563676	2
CCRT	YE	YE40	F	1766.92505843286	353.950183284489	1073.19544687391	2460.65466999181	2
CCRT	YE	YE41	F	1491.78172046838	140.273348133394	1216.85101013608	1766.71243080068	1
CCRT	YE	YE48	F	1833.34626874753	229.755285102912	1383.03418468809	2283.65835280697	2
CCRT	YE	YE49	F	1823.44378470972	457.51321725842	926.734356432167	2720.15321298727	2
CCRT	YE	YE51	F	1950.53744433371	276.153254528958	1409.28701124343	2491.78787742399	2
CCRT	YE	YE69	F	1695.85166595176	285.773347786765	1135.74619654826	2255.95713535526	2
CCRT	YE	YE80	F	1507.95656778446	169.32273463113	1176.09010614361	1839.82302942531	2
CCRT	RE	RE1	F	1557.2695867736	196.281056421428	1172.56578534013	1941.97338820707	1
CCRT	RE	RE10	F	1547.77309347831	116.684346478232	1319.07597682138	1776.47021013524	2
CCRT	RE	RE11	F	1634.01963935607	115.157495985214	1408.31509467524	1859.72418403691	2
CCRT	RE	RE12	F	1565.76055998256	167.76066772783	1236.95569321363	1894.5654267515	2
CCRT	RE	RE13	F	1591.26308717753	210.319727735601	1179.04399557748	2003.48217877757	2
CCRT	RE	RE15	F	1779.29284889994	284.82427538079	1221.04752723088	2337.53817056901	2
CCRT	RE	RE16	F	1459.42926662666	116.646339915957	1230.80664146297	1688.05189179035	2
CCRT	RE	RE17	F	1637.00472990616	192.48476557327	1259.74152180992	2014.26793800241	2
CCRT	RE	RE18	F	1361.92311611388	115.149893401336	1136.23347222363	1587.61276000413	2
CCRT	RE	RE2	F	1438.79969977917	159.867815607289	1125.46453890179	1752.13486065655	2
CCRT	RE	RE3	F	1595.46275645999	143.586833917922	1314.03773332672	1876.88777959325	2
CCRT	RE	RE4	F	1456.67650815952	115.350174742509	1230.5943200538	1682.75869626524	2
CCRT	RE	RE5	F	1448.08596624621	141.185606836246	1171.36726171173	1724.80467078068	2
CCRT	RE	RE6	F	1597.63960429931	114.84401867515	1372.54946385617	1822.72974474245	2
CCRT	RE	RE7	F	1362.59603008537	116.624646103304	1134.01592401316	1591.17613615757	2
CCRT	RE	RE8	F	1422.6230130048	114.925052470017	1197.37404924219	1647.87197676741	2
CCRT	RE	RE9	F	1442.17133407269	142.468708074637	1162.93779732245	1721.40487082293	1
CCRT	GI	GI1	F	1491.02751183668	117.37001395033	1260.98651162907	1721.06851204429	2
CCRT	GI	GI10	F	1542.6118442187	117.554812627133	1312.20864526017	1773.01504317723	2
CCRT	GI	GI11	F	1413.60345850579	232.328662573098	958.247647286155	1868.95926972542	2
CCRT	GI	GI12	F	1423.51524499494	117.731102671857	1192.76652389791	1654.26396609197	2
CCRT	GI	GI13	F	1432.09490368437	117.424940128839	1201.94625014507	1662.24355722366	2
CCRT	GI	GI14	F	1275.46486890285	197.598282851639	888.179351106679	1662.75038669902	1
CCRT	GI	GI15	F	1528.13143775298	137.69084545402	1258.26233966223	1798.00053584373	2
CCRT	GI	GI2	F	1486.99467530794	129.814210466575	1232.56349811196	1741.42585250393	2
CCRT	GI	GI3	F	1433.06552352829	118.025570655041	1201.73965578962	1664.39139126696	2
CCRT	GI	GI4	F	1841.0655044929	146.001471447173	1554.90787876659	2127.22313021921	1
CCRT	GI	GI5	F	1473.94419279627	152.858056361832	1174.34790758029	1773.54047801226	2
