Supervisor.PI,Diet,Batch,Population,Sex,Individual,Censor,LSM_AgeAtDeath_days,Country,Latitude,Longitude,Altitude
Pasyukova,S,1,AK,F,8,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,59,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,34,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,73,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,41,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,72,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,74,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,35,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,77,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,80,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,80,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,89,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,25,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,30,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,33,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,34,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,41,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,55,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,61,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,72,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,79,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,79,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,18,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,48,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,59,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,59,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,62,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,79,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,26,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,48,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,62,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,67,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,69,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,19,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,73,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,79,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,81,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,20,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,29,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,26,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,81,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,21,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,35,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,39,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,41,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,61,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,37,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,48,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,55,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,48,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,23,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,41,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,55,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,75,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,35,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,29,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,37,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,80,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,27,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,26,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,62,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,15,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,27,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,62,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,64,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,70,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,74,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,24,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,36,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,37,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,2,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,27,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,33,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,33,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,40,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,47,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,61,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,72,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,85,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,48,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,68,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,44,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,45,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,50,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,58,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,60,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,65,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,41,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,61,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,63,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,70,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,70,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,15,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,20,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,43,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,6,0,46,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,7,0,49,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,8,0,52,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,9,0,54,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,10,0,57,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,1,0,42,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,2,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,3,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,4,0,51,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,5,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,6,0,53,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,7,0,56,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,8,0,66,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,9,0,69,Finland,61.1,23.52,88
Pasyukova,S,1,AK,M,10,0,76,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,1,0,29,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,2,0,29,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,3,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,4,0,31,Finland,61.1,23.52,88
Pasyukova,S,1,AK,F,5,0,36,Finland,61.1,23.52,88
