Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,22,2723.1507,2745.5571,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,23,2835.8784,2841.8844,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,24,2923.4287,2944.3102,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,25,3026.0932,3027.7734,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,26,2949.7871,2953.264,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,27,2849.6002,2871.1338,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,28,3020.0705,3030.3159,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,29,2996.5695,2993.1155,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,1,2567.8379,2570.642,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,2,2564.1284,2557.7138,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,3,2497.3721,2493.4486,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,4,2534.4156,2549.8899,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,5,2337.8086,2316.6615,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,6,2629.0823,2650.101,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,7,2451.5544,2416.2723,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,8,2456.7783,2492.3496,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,9,2463.9741,2473.4495,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,10,2429.0427,2447.0765,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,11,2468.6402,2477.6447,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,12,2394.9893,2371.49,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,13,2444.9943,2294.7168,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,14,2470.7029,2495.011,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,15,2500.3726,2485.3696,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,16,2466.4197,2485.3945,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,17,2478.2116,2497.06,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,18,2410.3793,2440.0088,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,19,2438.3159,2442.2408,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,20,2505.3685,2544.5035,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,21,2471.8333,2471.8166,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,22,2506.1707,2513.4004,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,23,2429.9945,2401.7878,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,24,2480.4161,2478.7478,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,25,2270.4512,2293.7706,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,26,2352.3395,2363.9691,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,M,1,StamenkovicRadak_1_YE13_1,27,2323.4072,2506.1455,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,1,2863.3759,2853.5453,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,2,2746.7768,2763.1696,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,3,2747.4303,2736.5945,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,4,2703.1299,2730.7207,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,5,2634.7185,2700.8015,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,6,2761.3053,2785.3067,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,7,2755.9134,2761.0594,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,8,2815.2116,2799.2567,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,9,2658.4791,2691.7773,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,10,2714.1083,2700.3042,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,11,2729.0067,2721.7233,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,12,2885.0516,2905.8404,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,13,2701.1601,2583.8021,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,14,2668.5844,2691.8471,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,15,2775.1358,2816.7659,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,16,2825.2149,2827.8525,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,17,2691.8064,2646.7139,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,18,2840.1146,2824.3301,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,19,2651.1946,2659.0258,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,20,2563.0538,2585.1022,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,21,2680.8542,2665.6346,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,22,2741.3261,2732.3871,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,23,2868.9847,2894.9335,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,24,2800.7093,2824.5832,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,25,2550.1919,2522.282,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,26,2723.2554,2724.0201,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,27,2914.4942,2928.7474,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,28,2705.1494,2722.3736,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,F,1,StamenkovicRadak_1_YE14_1,29,2745.2828,2565.6463,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,1,2307.2597,2305.7469,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,2,2573.729,2557.4512,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,3,2346.5094,2332.6129,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,4,2403.9502,2415.2828,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,5,2475.4503,2451.5659,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,6,2447.222,2450.9265,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,7,2436.8161,2414.0837,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,8,2409.6361,2424.704,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,9,2449.014,2422.1843,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,10,2355.7455,2338.5432,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,11,2115.6732,2141.1103,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,12,2407.1278,2404.5729,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,13,2352.896,2365.7887,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,14,2287.2544,2275.5706,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,15,2342.4182,2358.2369,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,16,2477.2214,2483.0435,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,17,2292.0593,2292.4258,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,18,2370.6752,2382.5177,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,19,2473.8843,2456.0616,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,20,2334.5939,2339.0933,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,21,2436.2867,2397.5867,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,22,2381.234,2359.0829,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,23,2441.0721,2438.1901,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,24,2516.479,2519.7328,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,25,2553.7995,2543.0342,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,26,2468.4677,2442.1973,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,27,2423.9346,2439.4176,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,28,2392.0961,2393.6054,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE14,M,1,StamenkovicRadak_1_YE14_1,29,2397.0356,2251.0503,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,1,2843.8804,2852.9547,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,2,2908.3682,2908.8692,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,3,2832.3948,2814.2614,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,4,2919.0861,2937.3108,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,5,2805.653,2802.5757,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,6,2836.5701,2857.2734,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,7,2977.1209,2963.0035,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,8,2917.1333,2909.8676,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,9,2858.4706,2850.2306,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,10,2905.4817,2911.4169,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,11,2926.1431,2924.8544,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,12,2990.7862,2960.4501,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,13,2904.0409,2896.6537,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,14,2904.6939,2890.1165,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,15,3025.8201,3027.0903,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,16,2938.3609,2923.0062,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,17,2907.9839,3014.4,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,18,2878.3521,2874.0774,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,19,2896.6587,2912.5515,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,20,3106.5017,3088.9244,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,21,2871.0335,2863.7466,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,22,2883.2482,2943.1087,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,23,2892.8536,2897.2149,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,24,2768.0113,2775.5935,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,25,2865.2592,2831.2992,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,26,2782.0847,2713.2507,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,27,2795.9447,2811.4756,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,28,2786.2132,2795.8379,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,29,2922.2069,2931.0286,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,30,2877.5809,2879.0907,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,31,2841.2566,2861.9804,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,32,2772.1891,2782.1999,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,33,2936.7869,2911.1329,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,34,2934.9239,2933.3952,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,35,2887.3723,2921.9858,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,F,1,StamenkovicRadak_1_YE15_1,36,2885.8938,2922.2125,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,1,2466.5723,2479.9089,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,2,2556.4252,2546.4851,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,3,2568.1963,2587.2143,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,4,2497.7313,2528.2286,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,5,2481.9249,2494.9495,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,6,2503.2053,2515.9944,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,7,2460.843,2447.5738,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,8,2242.6226,2260.1309,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,9,2382.331,2400.0126,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,10,2377.2175,2360.5825,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,11,2510.5585,2327.077,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,12,2448.2075,2454.0947,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,13,2308.1462,2294.0688,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,14,2470.5939,2458.0394,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,15,2353.8576,2347.7392,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,16,2399.1753,2411.5983,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,17,2403.3016,2413.6816,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,18,2352.2979,2360.7595,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,19,2345.6687,2379.5465,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,20,2576.461,2589.9226,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,21,2387.5525,2388.3759,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,22,2553.7615,2548.5371,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,23,2416.1363,2418.8151,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,24,2529.2011,2523.2972,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,25,2612.4023,2622.3948,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,26,2489.3073,2505.9572,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,27,2474.5424,2462.1976,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,28,2378.5384,2383.7795,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,29,2501.7158,2478.0796,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,30,2437.9679,2438.0956,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,31,2543.1746,2551.9533,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,32,2566.4593,2585.1396,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE15,M,1,StamenkovicRadak_1_YE15_1,33,2438.2778,2451.2634,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,1,2902.2302,2894.9119,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,2,2889.4912,2886.2936,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,3,2919.4367,2912.8878,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,4,2955.6148,3005.3957,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,5,2891.5086,2945.3292,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,6,2817.6887,2814.181,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,7,2873.5067,2891.5235,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,8,2919.8555,2904.4978,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,9,2916.7224,2901.8937,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,10,2988.2823,2947.656,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,11,2792.7748,2816.4976,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,12,2732.077,2770.4553,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,13,2573.9645,2570.9553,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,14,2860.0975,2876.5854,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,15,2827.8533,2840.836,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,16,2885.5029,2897.3419,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,17,2797.8541,2808.4077,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,18,2893.6988,2903.8522,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,19,2877.2875,2859.9757,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,20,2864.66,2871.6048,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,21,2923.1174,2953.3866,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,22,2807.8132,2835.7103,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,23,2797.9325,2812.5524,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,24,2856.0355,2848.7328,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,25,3034.3917,3019.3308,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,26,2721.9924,2721.5774,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,27,2750.4859,2794.0189,Turkey,40.231,32.26,680
StamenkovicRadak,NS,2,YE,YE20,F,1,StamenkovicRadak_2_YE20_1,28,2973.5457,2967.7333,Turkey,40.231,32.26,680
